Date,SO2,NO2,O3,CO,PM10,PM2.5,AQI,AQI Category,Station code,District,Latitude,Longitude
2017-01-01,0.004,0.054,0.003,0.9924999999999999,81.667,58.938,188.10749999999996,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-02,0.005,0.046,0.016,0.9924999999999999,98.188,58.938,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-03,0.005,0.047,0.014,0.833,72.917,51.833,161.49,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-04,0.005,0.058,0.009,0.992,51.125,34.917,99.79,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-01-05,0.004,0.041,0.011,0.621,34.875,21.958,67.9,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-01-06,0.004,0.04,0.013,0.538,19.917,10.75,66.21,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-01-07,0.005,0.057,0.004,0.938,55.375,41.0,120.1,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-08,0.004,0.035,0.016,0.567,30.417,22.458,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-09,0.005,0.022,0.028,0.646,56.083,45.75,138.25,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-10,0.007,0.021,0.022,0.729,36.875,24.042,71.74,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-01-11,0.004,0.03,0.016,0.421,21.833,11.042,50.0,Good,101,Jongno-gu,37.5720164,127.0050075
2017-01-12,0.004,0.029,0.018,0.442,26.5,15.417,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-13,0.003,0.019,0.024,0.346,27.542,11.667,45.9,Good,101,Jongno-gu,37.5720164,127.0050075
2017-01-14,0.003,0.012,0.025,0.308,36.417,9.333,56.42,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-01-15,0.003,0.021,0.018,0.404,23.958,11.625,39.93,Good,101,Jongno-gu,37.5720164,127.0050075
2017-01-16,0.004,0.045,0.007,0.742,41.958,26.25,77.43,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-01-17,0.006,0.064,0.003,0.9924999999999999,63.5,52.0,162.13,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-18,0.005,0.056,0.007,0.9924999999999999,96.083,58.938,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-19,0.006,0.054,0.007,0.9924999999999999,95.625,58.938,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-20,0.004,0.031,0.02,0.571,54.542,42.917,127.43,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-21,0.003,0.045,0.007,0.712,49.667,39.25,113.42,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-22,0.005,0.013,0.03,0.4,66.333,26.792,86.33,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-01-23,0.008,0.023,0.023,0.9924999999999999,64.375,56.542,179.48,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-24,0.004,0.035,0.017,0.517,32.958,26.167,77.22,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-01-25,0.005,0.053,0.01,0.85,48.667,40.708,118.99,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-26,0.005,0.064,0.008,0.9924999999999999,65.042,55.5,175.5,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-27,0.003,0.014,0.028,0.362,93.375,17.542,127.72,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-01-28,0.003,0.036,0.012,0.504,27.667,10.375,59.45,Moderate,101,Jongno-gu,37.5720164,127.0050075
